"","score_file"
"R03C01-10021330",0.178
"R05C01-10021421",0.12987
"R06C01-10021401",0.13
"R07C01-10021342",0.178
"R08C01-10020612",0.130048
"R02C01-10013874",0.13
"R04C01-10026457",0.13
"R05C01-10025741",0.178
"R06C01-10025300",0.13
"R07C01-10025195",0.06539
"R08C01-10007961",0.178
"R04C01-10021464",0.178
"R05C01-10021355",0.178
"R06C01-10021357",0.13
"R07C01-10021363",0.178
"R08C01-10021450",0.177952
"R01C01-10027230",0.13
"R02C01-10026749",0.226
"R04C01-10027105",0.13
"R05C01-10028242",0.178048
"R06C01-10028030",0.13
"R07C01-10028244",0.13
"R08C01-10026730",0.130048
"R01C01-10014015",0.113065
"R02C01-10022629",0.178
"R03C01-10022428",0.13
"R04C01-10021940",0.130672
"R05C01-10022614",0.065
"R06C01-10018065",0.226
"R07C01-10022054",0.178
"R08C01-10014022",0.06526
"R01C01-10018293",0.13
"R02C01-10018427",0.178
"R04C01-10018387",0.178
"R06C01-10014330",0.13
"R07C01-10018458",0.178
"R08C01-10018383",0.161065
"R01C01-10018565",0.13
"R02C01-10018532",0.13
"R03C01-10018531",0.130048
"R04C01-10018861",0.13
"R05C01-10018262",0.13
"R06C01-10018418",0.130048
"R07C01-10018495",0.178
"R08C01-10018373",0.13
"R02C01-10018224",0.178
"R04C01-10018416",0.13
"R05C01-10018327",0.178
"R06C01-10018380",0.178
"R08C01-10018868",0.065065
"R01C01-10024451",0.225856
"R02C01-10026634",0.178
"R06C01-10013544",0.13
"R07C01-10014308",0.065
"R04C01-10014254",0.13
"R05C01-10014253",0.13
"R06C01-10014167",0.178
"R07C01-10011820",0.13
"R08C01-10014227",0.13
"R01C01-10018393",0.13024
"R02C01-10018391",0.177952
"R03C01-10019050",0.06526
"R05C01-10018973",0.178
"R06C01-10018544",0.226
"R07C01-10018389",0.13
"R08C01-10018971",0.178
"R01C01-10016384",0.178
"R02C01-10016367",0.13
"R03C01-10016385",0.13
"R04C01-10016322",0.13
"R05C01-10016364",0.113065
"R06C01-10016560",0.13
"R07C01-10007956",0.178
"R08C01-10016559",0.13
"R01C01-10016525",0.178
"R04C01-10016498",0.13
"R05C01-10016565",0.13
"R07C01-10016330",0.13
"R08C01-10014434",0.178
"R03C01-10018628",0.13
"R04C01-10018570",0.178
"R05C01-10018571",0.161325
"R06C01-10018513",0.13
"R08C01-10018431",0.13
"R01C01-10016567",0.13
"R03C01-10016518",0.177904
"R05C01-10018567",0.13
"R06C01-10018525",0.13
"R07C01-10018517",0.11573
"R08C01-10018504",0.178
"R01C01-10016392",0.13
"R02C01-10016415",0.06526
"R03C01-10014433",0.130048
"R04C01-10016427",0.13
"R05C01-10014404",0.13
"R06C01-10014432",0.130048
"R02C01-10027738",0.130048
"R04C01-10028119",0.178
"R06C01-10028298",0.113288
"R08C01-10027223",0.13
"R02C01-10014501",0.13
"R03C01-10003687",0.13
"R04C01-10013326",0.065
"R06C01-10003737",0.177952
"R07C01-10005543",0.178
"R08C01-10009694",0.13
"R01C01-10021389",0.13
"R05C01-10022065",0.13
"R06C01-10022026",0.065195
"R07C01-10022606",0.13
"R08C01-10022028",0.13
"R01C01-10021987",0.13
"R02C01-10021916",0.13
"R03C01-10021936",0.226
"R04C01-10021929",0.13
"R05C01-10021501",0.113992
"R06C01-10022004",0.13
"R07C01-10022005",0.13
"R08C01-10021384",0.178
"R01C01-10024450",0.113
"R02C01-10025492",0.13
"R03C01-10024474",0.178
"R04C01-10026574",0.178
"R05C01-10024744",0.13
"R06C01-10026575",0.13
"R07C01-10026643",0.11313
"R08C01-10026013",0.13
"R01C01-10012722",0.13
"R03C01-10011768",0.177712
"R04C01-10002892",0.13
"R05C01-10012590",0.178
"R06C01-10009199",0.11313
"R07C01-10003797",0.130048
"R08C01-10010169",0.130048
"R01C01-10022611",0.13
"R03C01-10022545",0.178
"R04C01-10022627",0.178048
"R05C01-10021523",0.178
"R06C01-10021958",0.178048
"R07C01-10022612",0.112653
"R08C01-10018074",0.178
"R01C01-10018574",0.13
"R03C01-10018407",0.13
"R04C01-10018242",0.13
"R05C01-10018586",0.13
"R06C01-10018521",0.224032
"R01C01-10014431",0.13
"R02C01-10016412",0.226
"R03C01-10016410",0.130048
"R04C01-10016411",0.178
"R05C01-10016539",0.178
"R07C01-10007966",0.11313
"R08C01-10016305",0.178
"R02C01-10018345",0.178
"R04C01-10018496",0.13
"R05C01-10018502",0.13
"R06C01-10018497",0.13
"R08C01-10018289",0.13
"R03C01-10002975",0.13
"R04C01-10018247",0.13
"R05C01-10018273",0.178
"R06C01-10018268",0.161017
"R07C01-10007960",0.13
"R08C01-10018236",0.13
"R01C01-10025765",0.13
"R02C01-10025845",0.13
"R05C01-10022392",0.13
"R08C01-10024308",0.226
"R03C01-10019027",0.0506
"R04C01-10018455",0.13
"R05C01-10018996",0.130048
"R07C01-10018850",0.178
"R08C01-10019097",0.178
"R02C01-10018376",0.13
"R03C01-10019045",0.178
"R05C01-10019062",0.13
"R06C01-10012777",0.06591
"R08C01-10019030",0.13
"R01C01-10014935",0.177952
"R03C01-10014937",0.065743
"R04C01-10018093",0.13
"R05C01-10018082",0.13
"R06C01-10014891",0.13
"R07C01-10014895",0.13
"R08C01-10014896",0.178
"R01C01-10014069",0.178
"R02C01-10014717",0.13
"R03C01-10014720",0.130336
"R04C01-10014723",0.178
"R05C01-10014014",0.13
"R06C01-10014694",0.178
"R07C01-10014695",0.177808
"R08C01-10014024",0.178
"R04C01-10021437",0.178
"R05C01-10020672",0.13
"R06C01-10021348",0.226
"R07C01-10021351",0.13
"R08C01-10021353",0.065048
"R02C01-10019048",0.130576
"R03C01-10019073",0.130048
"R04C01-10019072",0.178
"R05C01-10018992",0.13
"R07C01-10018642",0.178
"R08C01-10019038",0.13
"R01C01-10018409",0.13
"R03C01-10018243",0.130048
"R05C01-10018566",0.13
"R06C01-10018551",0.13
"R07C01-10018630",0.130048
"R08C01-10018529",0.178
"R01C01-10018447",0.178
"R02C01-10008271",0.161
"R06C01-10018222",0.178
"R08C01-10018126",0.178
"R01C01-10014606",0.178
"R02C01-10014667",0.13
"R03C01-10014638",0.13
"R04C01-10014588",0.113065
"R05C01-10014607",0.130048
"R08C01-10011730",0.065048
"R01C01-10016344",0.13
"R05C01-10016546",0.178
"R06C01-10016378",0.13
"R07C01-10016302",0.13
"R08C01-10016303",0.178
"R01C01-10014056",0.13
"R02C01-10022016",0.13
"R03C01-10022542",0.13
"R04C01-10022081",0.178
"R05C01-10021380",0.130096
