"","score_file"
"R01C01-10007854",0.861683669159935
"R02C01-10020793",-0.871090215287803
"R04C01-10021658",2.14255140541144
"R05C01-10021278",2.13998966993894
"R06C01-10023784",-0.417903199355318
"R07C01-10018910",0.861683669159935
"R08C01-10024342",2.14255140541144
"R02C01-10023962",-0.419184067091569
"R04C01-10022681",-0.419184067091569
"R01C01-10003838",0.861683669159935
"R02C01-10019166",-2.15022344314647
"R04C01-10025209",-0.419184067091569
"R05C01-10024884",-0.417903199355318
"R06C01-10025340",-0.871090215287803
"R08C01-10025206",-0.872824723680644
"R03C01-10025898",0.724630821381025
"R04C01-10025426",-0.419184067091569
"R05C01-10025471",-0.417903199355318
"R06C01-10025472",0.861683669159935
"R03C01-10024644",0.861683669159935
"R05C01-10024114",2.14255140541144
"R06C01-10023624",2.14127053767519
"R07C01-10025290",-0.419184067091569
"R08C01-10018920",2.14127053767519
"R01C01-10021398",0.859949160767095
"R02C01-10024609",0.862964536896186
"R04C01-10026081",-0.419184067091569
"R07C01-10013144",-2.14675442636079
"R01C01-10013442",-0.415341463882815
"R03C01-10013525",0.861683669159935
"R06C01-10013527",0.861683669159935
"R08C01-10013377",-0.419184067091569
"R02C01-10013495",-0.419184067091569
"R03C01-10005593",0.861683669159935
"R05C01-10010130",0.861683669159935
"R06C01-10011409",-0.419184067091569
"R07C01-10012846",-0.419184067091569
"R08C01-10013307",-0.419184067091569
"R02C01-10011958",-0.419184067091569
"R04C01-10011752",-2.1524115921959
"R07C01-10012818",-2.1432854095751
"R03C01-10013533",0.861683669159935
"R05C01-10012838",-0.419184067091569
"R06C01-10012839",-0.419184067091569
"R07C01-10013404",-0.419184067091569
"R08C01-10013327",-0.863244900403263
"R04C01-10027917",0.861683669159935
"R05C01-10027529",-0.872824723680644
"R08C01-10026271",-0.419184067091569
"R03C01-10014420",-2.15369245993215
"R04C01-10014436",0.861683669159935
"R05C01-10014439",-0.419184067091569
"R07C01-10024257",0.861683669159935
"R08C01-10019152",-0.419184067091569
"R01C01-10012841",-2.15022344314647
"R02C01-10011801",2.14255140541144
"R03C01-10013569",-0.419184067091569
"R04C01-10011767",0.861683669159935
"R05C01-10011779",-0.864152181716441
"R08C01-10013536",-0.416622331619066
"R01C01-10005606",-0.391004976894036
"R02C01-10003191",0.857841065951181
"R03C01-10012756",-0.265479938741389
"R04C01-10006964",0.409777520963702
"R05C01-10018649",0.847594124061169
"R06C01-10018392",0.861683669159935
"R07C01-10018522",-0.419184067091569
"R01C01-10012668",2.14255140541144
"R02C01-10012661",-0.419184067091569
"R03C01-10012633",-2.14848893475363
"R04C01-10011943",-0.419184067091569
"R05C01-10011780",-0.417903199355318
"R06C01-10013537",2.1066871087964
"R07C01-10012816",-1.32299636348404
"R08C01-10011783",-0.419184067091569
"R01C01-10013359",-0.419184067091569
"R02C01-10011747",-0.417903199355318
"R03C01-10005324",-0.419184067091569
"R04C01-10011809",0.861683669159935
"R05C01-10008445",-2.15067708380306
"R06C01-10018208",0.861683669159935
"R07C01-10008360",-2.14848893475363
"R08C01-10008349",-0.417903199355318
"R02C01-10013275",-0.419184067091569
"R03C01-10013274",0.861683669159935
"R05C01-10014073",0.861683669159935
"R07C01-10014084",-2.14848893475363
"R08C01-10013530",2.14255140541144
"R01C01-10023647",2.14255140541144
"R02C01-10023722",-0.419184067091569
"R03C01-10023676",-0.419184067091569
"R04C01-10023674",-0.419184067091569
"R08C01-10024383",-0.419184067091569
"R01C01-10013360",-0.419184067091569
"R03C01-10013401",-0.419184067091569
"R04C01-10013403",-0.419184067091569
"R05C01-10012771",-0.867247612079049
"R06C01-10013353",-2.15369245993215
"R07C01-10014083",-0.419184067091569
"R01C01-10012631",-0.419184067091569
"R02C01-10013351",-0.419184067091569
"R05C01-10013559",0.861683669159935
"R06C01-10012753",2.14255140541144
"R07C01-10012499",-0.855479639752238
"R08C01-10012531",2.14255140541144
"R02C01-10012519",-0.419184067091569
"R03C01-10012570",2.0221498382038
"R05C01-10013010",-0.419184067091569
"R06C01-10012550",-0.419184067091569
"R08C01-10012990",-0.419184067091569
"R02C01-10014316",0.403373182282444
"R03C01-10014424",-0.858948656537919
"R05C01-10014320",0.861683669159935
"R06C01-10014422",-0.419184067091569
"R07C01-10014319",-0.419184067091569
"R03C01-10014463",0.861683669159935
"R04C01-10014393",0.861683669159935
"R05C01-10014290",0.860402801423684
"R06C01-10014139",0.861683669159935
"R08C01-10014159",-0.419184067091569
"R01C01-10014379",-0.872824723680644
"R02C01-10014132",-0.419184067091569
"R03C01-10014276",-0.419184067091569
"R05C01-10014315",-0.872824723680644
"R06C01-10013563",-0.872824723680644
"R07C01-10014401",-2.14848893475363
"R08C01-10014403",-0.419184067091569
"R01C01-10018112",0.861683669159935
"R02C01-10018183",0.861683669159935
"R03C01-10016458",0.861683669159935
"R05C01-10016479",0.861683669159935
"R06C01-10016483",0.861683669159935
"R07C01-10016481",0.861683669159935
"R08C01-10016482",-0.419184067091569
"R01C01-10022703",0.861683669159935
"R02C01-10022541",0.861683669159935
"R03C01-10018099",-0.419184067091569
"R04C01-10021402",-0.419184067091569
"R07C01-10021343",-0.871090215287803
"R01C01-10021920",-0.417903199355318
"R03C01-10022069",-0.419184067091569
"R04C01-10022426",-2.15022344314647
"R06C01-10022071",-0.419184067091569
"R07C01-10022419",-0.869355706894962
"R08C01-10013034",-0.872371083024055
"R01C01-10016331",0.860402801423684
"R02C01-10016365",2.14255140541144
"R03C01-10016332",0.859121933687432
"R04C01-10009322",-0.419184067091569
"R06C01-10005558",-0.419184067091569
"R07C01-10016336",0.861683669159935
"R08C01-10016394",-0.419184067091569
"R03C01-10021945",-2.60559860812838
"R04C01-10022609",-0.419184067091569
"R05C01-10021500",0.862964536896186
"R06C01-10022011",-2.04924836993864
"R07C01-10021947",-0.419184067091569
"R08C01-10022033",-2.15022344314647
"R02C01-10018338",-2.15022344314647
"R03C01-10018334",-0.419184067091569
"R05C01-10014660",-0.419184067091569
"R06C01-10018331",-2.15195795153931
"R07C01-10018250",0.861683669159935
"R08C01-10018379",2.14255140541144
"R04C01-10016388",-0.419184067091569
"R05C01-10018162",-0.419184067091569
"R06C01-10018187",-0.417903199355318
"R07C01-10016476",0.754090779314809
"R08C01-10018118",-0.419184067091569
"R02C01-10013435",-0.417903199355318
"R04C01-10016333",-0.416622331619066
"R07C01-10016366",0.862964536896186
"R08C01-10013462",-0.417903199355318
"R03C01-10014050",0.861683669159935
"R05C01-10023242",-0.419184067091569
"R06C01-10023913",-0.419184067091569
"R07C01-10023914",-0.417903199355318
"R01C01-10018452",-0.419184067091569
"R02C01-10018410",-0.419184067091569
"R04C01-10011920",0.861683669159935
"R05C01-10018358",-0.419184067091569
"R06C01-10018175",0.861683669159935
"R06C01-10016527",-0.419184067091569
"R07C01-10012654",-0.417903199355318
"R01C01-10012844",0.861683669159935
"R02C01-10014472",-2.15369245993215
"R04C01-10014471",-0.419184067091569
"R05C01-10014412",-0.419184067091569
"R06C01-10014467",-0.419184067091569
"R07C01-10014283",0.861683669159935
"R08C01-10007928",0.861683669159935
"R01C01-10012788",-0.419184067091569
"R02C01-10016447",-0.419184067091569
"R03C01-10005512",-0.419184067091569
"R04C01-10016548",-0.419184067091569
"R05C01-10016343",0.861683669159935
"R07C01-10007951",-0.419184067091569
"R01C01-10018185",-0.871090215287803
"R02C01-10018315",0.862964536896186
"R04C01-10018356",-2.59866057455702
"R05C01-10018353",-0.419184067091569
"R06C01-10018381",-0.41149886067406
"R07C01-10021893",0.861683669159935
"R08C01-10018625",0.861683669159935
"R03C01-10009736",0.861683669159935
"R04C01-10012761",0.861683669159935
"R05C01-10012714",-0.419184067091569
"R08C01-10018209",2.12718099257642
"R01C01-10024453",0.862964536896186
"R02C01-10024452",-0.419184067091569
"R03C01-10026576",0.861683669159935
"R04C01-10026645",0.861683669159935
"R05C01-10026644",0.861683669159935
"R06C01-10024440",-0.419184067091569
"R08C01-10026578",0.862964536896186
"R01C01-10014504",-0.419184067091569
"R02C01-10014407",-0.419184067091569
"R03C01-10014462",-0.419184067091569
"R04C01-10014519",-0.419184067091569
"R05C01-10014643",-0.870262988208141
"R07C01-10014608",2.14255140541144
"R08C01-10010665",2.13998966993894
"R02C01-10021336",0.861683669159935
"R03C01-10021330",0.861683669159935
"R05C01-10021421",-0.42265308387725
"R06C01-10021401",-0.419184067091569
"R07C01-10021342",0.861683669159935
"R08C01-10020612",-0.417903199355318
"R02C01-10013874",-0.419184067091569
"R04C01-10026457",-0.419184067091569
"R05C01-10025741",0.861683669159935
"R06C01-10025300",-0.419184067091569
"R07C01-10025195",-2.1432854095751
"R08C01-10007961",0.861683669159935
"R04C01-10021464",0.861683669159935
"R05C01-10021355",0.861683669159935
"R06C01-10021357",-0.419184067091569
"R07C01-10021363",0.861683669159935
"R08C01-10021450",0.860402801423684
"R01C01-10027230",-0.419184067091569
"R02C01-10026749",2.14255140541144
"R04C01-10027105",-0.419184067091569
"R05C01-10028242",0.862964536896186
"R06C01-10028030",-0.419184067091569
"R07C01-10028244",-0.419184067091569
"R08C01-10026730",-0.417903199355318
"R01C01-10014015",-0.871090215287803
"R02C01-10022629",0.861683669159935
"R03C01-10022428",-0.419184067091569
"R04C01-10021940",-0.401251918784048
"R05C01-10022614",-2.15369245993215
"R06C01-10018065",2.14255140541144
"R07C01-10022054",0.861683669159935
"R08C01-10014022",-2.14675442636079
"R01C01-10018293",-0.419184067091569
"R02C01-10018427",0.861683669159935
"R04C01-10018387",0.861683669159935
"R06C01-10014330",-0.419184067091569
"R07C01-10018458",0.861683669159935
"R08C01-10018383",0.409777520963702
"R01C01-10018565",-0.419184067091569
"R02C01-10018532",-0.419184067091569
"R03C01-10018531",-0.417903199355318
"R04C01-10018861",-0.419184067091569
"R05C01-10018262",-0.419184067091569
"R06C01-10018418",-0.417903199355318
"R07C01-10018495",0.861683669159935
"R08C01-10018373",-0.419184067091569
"R02C01-10018224",0.861683669159935
"R04C01-10018416",-0.419184067091569
"R05C01-10018327",0.861683669159935
"R06C01-10018380",0.861683669159935
"R08C01-10018868",-2.15195795153931
"R01C01-10024451",2.13870880220269
"R02C01-10026634",0.861683669159935
"R06C01-10013544",-0.419184067091569
"R07C01-10014308",-2.15369245993215
"R04C01-10014254",-0.419184067091569
"R05C01-10014253",-0.419184067091569
"R06C01-10014167",0.861683669159935
"R07C01-10011820",-0.419184067091569
"R08C01-10014227",-0.419184067091569
"R01C01-10018393",-0.412779728410312
"R02C01-10018391",0.860402801423684
"R03C01-10019050",-2.14675442636079
"R05C01-10018973",0.861683669159935
"R06C01-10018544",2.14255140541144
"R07C01-10018389",-0.419184067091569
"R08C01-10018971",0.861683669159935
"R01C01-10016384",0.861683669159935
"R02C01-10016367",-0.419184067091569
"R03C01-10016385",-0.419184067091569
"R04C01-10016322",-0.419184067091569
"R05C01-10016364",-0.871090215287803
"R06C01-10016560",-0.419184067091569
"R07C01-10007956",0.861683669159935
"R08C01-10016559",-0.419184067091569
"R01C01-10016525",0.861683669159935
"R04C01-10016498",-0.419184067091569
"R05C01-10016565",-0.419184067091569
"R07C01-10016330",-0.419184067091569
"R08C01-10014434",0.861683669159935
"R03C01-10018628",-0.419184067091569
"R04C01-10018570",0.861683669159935
"R05C01-10018571",0.416715554535063
"R06C01-10018513",-0.419184067091569
"R08C01-10018431",-0.419184067091569
"R01C01-10016567",-0.419184067091569
"R03C01-10016518",0.859121933687432
"R05C01-10018567",-0.419184067091569
"R06C01-10018525",-0.419184067091569
"R07C01-10018517",-0.79997537118134
"R08C01-10018504",0.861683669159935
"R01C01-10016392",-0.419184067091569
"R02C01-10016415",-2.14675442636079
"R03C01-10014433",-0.417903199355318
"R04C01-10016427",-0.419184067091569
"R05C01-10014404",-0.419184067091569
"R06C01-10014432",-0.417903199355318
"R02C01-10027738",-0.417903199355318
"R04C01-10028119",0.861683669159935
"R06C01-10028298",-0.865139517263135
"R08C01-10027223",-0.419184067091569
"R02C01-10014501",-0.419184067091569
"R03C01-10003687",-0.419184067091569
"R04C01-10013326",-2.15369245993215
"R06C01-10003737",0.860402801423684
"R07C01-10005543",0.861683669159935
"R08C01-10009694",-0.419184067091569
"R01C01-10021389",-0.419184067091569
"R05C01-10022065",-0.419184067091569
"R06C01-10022026",-2.14848893475363
"R07C01-10022606",-0.419184067091569
"R08C01-10022028",-0.419184067091569
"R01C01-10021987",-0.419184067091569
"R02C01-10021916",-0.419184067091569
"R03C01-10021936",2.14255140541144
"R04C01-10021929",-0.419184067091569
"R05C01-10021501",-0.846353457131446
"R06C01-10022004",-0.419184067091569
"R07C01-10022005",-0.419184067091569
"R08C01-10021384",0.861683669159935
"R01C01-10024450",-0.872824723680644
"R02C01-10025492",-0.419184067091569
"R03C01-10024474",0.861683669159935
"R04C01-10026574",0.861683669159935
"R05C01-10024744",-0.419184067091569
"R06C01-10026575",-0.419184067091569
"R07C01-10026643",-0.869355706894962
"R08C01-10026013",-0.419184067091569
"R01C01-10012722",-0.419184067091569
"R03C01-10011768",0.853998462742426
"R04C01-10002892",-0.419184067091569
"R05C01-10012590",0.861683669159935
"R06C01-10009199",-0.869355706894962
"R07C01-10003797",-0.417903199355318
"R08C01-10010169",-0.417903199355318
"R01C01-10022611",-0.419184067091569
"R03C01-10022545",0.861683669159935
"R04C01-10022627",0.862964536896186
"R05C01-10021523",0.861683669159935
"R06C01-10021958",0.862964536896186
"R07C01-10022612",-0.882084330023962
"R08C01-10018074",0.861683669159935
"R01C01-10018574",-0.419184067091569
"R03C01-10018407",-0.419184067091569
"R04C01-10018242",-0.419184067091569
"R05C01-10018586",-0.419184067091569
"R06C01-10018521",2.09003582822513
"R01C01-10014431",-0.419184067091569
"R02C01-10016412",2.14255140541144
"R03C01-10016410",-0.417903199355318
"R04C01-10016411",0.861683669159935
"R05C01-10016539",0.861683669159935
"R07C01-10007966",-0.869355706894962
"R08C01-10016305",0.861683669159935
"R02C01-10018345",0.861683669159935
"R04C01-10018496",-0.419184067091569
"R05C01-10018502",-0.419184067091569
"R06C01-10018497",-0.419184067091569
"R08C01-10018289",-0.419184067091569
"R03C01-10002975",-0.419184067091569
"R04C01-10018247",-0.419184067091569
"R05C01-10018273",0.861683669159935
"R06C01-10018268",0.40849665322745
"R07C01-10007960",-0.419184067091569
"R08C01-10018236",-0.419184067091569
"R01C01-10025765",-0.419184067091569
"R02C01-10025845",-0.419184067091569
"R05C01-10022392",-0.419184067091569
"R08C01-10024308",2.14255140541144
"R03C01-10019027",-2.5379527808076
"R04C01-10018455",-0.419184067091569
"R05C01-10018996",-0.417903199355318
"R07C01-10018850",0.861683669159935
"R08C01-10019097",0.861683669159935
"R02C01-10018376",-0.419184067091569
"R03C01-10019045",0.861683669159935
"R05C01-10019062",-0.419184067091569
"R06C01-10012777",-2.12940934243238
"R08C01-10019030",-0.419184067091569
"R01C01-10014935",0.860402801423684
"R03C01-10014937",-2.13386569476476
"R04C01-10018093",-0.419184067091569
"R05C01-10018082",-0.419184067091569
"R06C01-10014891",-0.419184067091569
"R07C01-10014895",-0.419184067091569
"R08C01-10014896",0.861683669159935
"R01C01-10014069",0.861683669159935
"R02C01-10014717",-0.419184067091569
"R03C01-10014720",-0.410217992937809
"R04C01-10014723",0.861683669159935
"R05C01-10014014",-0.419184067091569
"R06C01-10014694",0.861683669159935
"R07C01-10014695",0.85656019821493
"R08C01-10014024",0.861683669159935
"R04C01-10021437",0.861683669159935
"R05C01-10020672",-0.419184067091569
"R06C01-10021348",2.14255140541144
"R07C01-10021351",-0.419184067091569
"R08C01-10021353",-2.1524115921959
"R02C01-10019048",-0.403813654256551
"R03C01-10019073",-0.417903199355318
"R04C01-10019072",0.861683669159935
"R05C01-10018992",-0.419184067091569
"R07C01-10018642",0.861683669159935
"R08C01-10019038",-0.419184067091569
"R01C01-10018409",-0.419184067091569
"R03C01-10018243",-0.417903199355318
"R05C01-10018566",-0.419184067091569
"R06C01-10018551",-0.419184067091569
"R07C01-10018630",-0.417903199355318
"R08C01-10018529",0.861683669159935
"R01C01-10018447",0.861683669159935
"R02C01-10008271",0.408043012570861
"R06C01-10018222",0.861683669159935
"R08C01-10018126",0.861683669159935
"R01C01-10014606",0.861683669159935
"R02C01-10014667",-0.419184067091569
"R03C01-10014638",-0.419184067091569
"R04C01-10014588",-0.871090215287803
"R05C01-10014607",-0.417903199355318
"R08C01-10011730",-2.1524115921959
"R01C01-10016344",-0.419184067091569
"R05C01-10016546",0.861683669159935
"R06C01-10016378",-0.419184067091569
"R07C01-10016302",-0.419184067091569
"R08C01-10016303",0.861683669159935
"R01C01-10014056",-0.419184067091569
"R02C01-10022016",-0.419184067091569
"R03C01-10022542",-0.419184067091569
"R04C01-10022081",0.861683669159935
"R05C01-10021380",-0.416622331619066
"R06C01-10021445",0.851436727269923
"R07C01-10020659",-0.419184067091569
"R08C01-10020597",-2.15195795153931
